date, Inflation Rate (%), Annual Change, 
1971-12-31,1.1
1972-12-31,-0.0989,-1.2
1973-12-31,2.4752,2.57
1974-12-31,7.0531,4.58
1975-12-31,2.2563,-4.8
1976-12-31,4.4131,2.16
1977-12-31,4.9028,0.49
1978-12-31,8.1013,3.2
1979-12-31,7.0258,-1.08
1980-12-31,9.6827,2.66
1981-12-31,19.1272,9.44
1982-12-31,103.5587,84.43
1983-12-31,25.5348,-78.02
1984-12-31,15.401,-10.13
1985-12-31,11.5213,-3.88
1986-12-31,16.55,5.03
1987-12-31,26.379,9.83
1988-12-31,58.7208,32.34
1989-12-31,244.5509,185.83
1990-12-31,567.8788,323.33
1991-12-31,76.7695,-491.11
1992-12-31,46.0986,-30.67
1993-12-31,36.9642,-9.13
1994-12-31,32.9913,-3.97
1995-12-31,27.9514,-5.04
1996-12-31,19.795,-8.16
1997-12-31,14.9132,-4.88
1998-12-31,11.5979,-3.32
1999-12-31,7.1541,-4.44
2000-12-31,9.9002,2.75
2001-12-31,5.4083,-4.49
2002-12-31,1.9053,-3.5
2003-12-31,0.6827,-1.22
2004-12-31,3.3826,2.7
2005-12-31,2.1838,-1.2
2006-12-31,1.2847,-0.9
2007-12-31,2.4587,1.17
2008-12-31,4.165,1.71
2009-12-31,3.7954,-0.37
2010-12-31,2.5807,-1.21
2011-12-31,4.2394,1.66
2012-12-31,3.5604,-0.68
2013-12-31,0.992,-2.57
2014-12-31,0.0538,-0.94
2015-12-31,-0.8741,-0.93
2016-12-31,-0.6648,0.21
2017-12-31,2.0759,2.74
2018-12-31,1.813,-0.26
2019-12-31,2.2275,0.41
2020-12-31,3.3745,1.15
2021-12-31,5.055,1.68
