Tabela,Data,Kurs średni,Zmiana
83/A/NBP/2023,2023-04-28,5.2005,0.39
82/A/NBP/2023,2023-04-27,5.1805,-0.11
81/A/NBP/2023,2023-04-26,5.1861,-0.19
80/A/NBP/2023,2023-04-25,5.1958,-0.42
79/A/NBP/2023,2023-04-24,5.2176,0.17
78/A/NBP/2023,2023-04-21,5.2086,-0.4
77/A/NBP/2023,2023-04-20,5.2296,-0.44
76/A/NBP/2023,2023-04-19,5.2529,0.19
75/A/NBP/2023,2023-04-18,5.2428,0.23
74/A/NBP/2023,2023-04-17,5.231,-0.49
73/A/NBP/2023,2023-04-14,5.2565,-0.58
72/A/NBP/2023,2023-04-13,5.2874,-0.31
71/A/NBP/2023,2023-04-12,5.3041,-0.61
70/A/NBP/2023,2023-04-11,5.3369,-0.07
69/A/NBP/2023,2023-04-07,5.3404,-0.45
68/A/NBP/2023,2023-04-06,5.3648,0.5
67/A/NBP/2023,2023-04-05,5.3379,-0.16
66/A/NBP/2023,2023-04-04,5.3462,0.42
65/A/NBP/2023,2023-04-03,5.3236,0.24
64/A/NBP/2023,2023-03-31,5.3107,-0.13
63/A/NBP/2023,2023-03-30,5.3177,-0.23
62/A/NBP/2023,2023-03-29,5.3302,0.11
61/A/NBP/2023,2023-03-28,5.3242,-0.23
60/A/NBP/2023,2023-03-27,5.3364,-0.1
59/A/NBP/2023,2023-03-24,5.3417,0.85
58/A/NBP/2023,2023-03-23,5.2966,-0.78
57/A/NBP/2023,2023-03-22,5.3385,-0.33
56/A/NBP/2023,2023-03-21,5.3561,-0.46
55/A/NBP/2023,2023-03-20,5.3808,0.35
54/A/NBP/2023,2023-03-17,5.362,0.36
53/A/NBP/2023,2023-03-16,5.3427,0.16
52/A/NBP/2023,2023-03-15,5.3341,0.21
51/A/NBP/2023,2023-03-14,5.3227,0.4
50/A/NBP/2023,2023-03-13,5.3013,-0.1
49/A/NBP/2023,2023-03-10,5.3068,0.8
48/A/NBP/2023,2023-03-09,5.2648,-0.31
47/A/NBP/2023,2023-03-08,5.2811,-0.05
46/A/NBP/2023,2023-03-07,5.2836,-0.81
45/A/NBP/2023,2023-03-06,5.3268,0.23
44/A/NBP/2023,2023-03-03,5.3147,0.89
43/A/NBP/2023,2023-03-02,5.2676,-1.02
42/A/NBP/2023,2023-03-01,5.3218,-0.9
41/A/NBP/2023,2023-02-28,5.37,0.33
40/A/NBP/2023,2023-02-27,5.3523,-0.26
39/A/NBP/2023,2023-02-24,5.3663,-0.59
38/A/NBP/2023,2023-02-23,5.3984,0.02
37/A/NBP/2023,2023-02-22,5.3971,0.26
36/A/NBP/2023,2023-02-21,5.3832,0.58
35/A/NBP/2023,2023-02-20,5.352,-0.16
34/A/NBP/2023,2023-02-17,5.3606,-0.31
33/A/NBP/2023,2023-02-16,5.3772,0.18
32/A/NBP/2023,2023-02-15,5.3674,-0.96
