Data,ChfPln,EurPln,GbpPln,UsdPln
2001-09-11,"2,4981","3,7851","6,1332","4,2165"
2001-09-12,"2,5541","3,8393","6,2215","4,2468"
2001-09-13,"2,5519","3,8403","6,2116","4,2348"
2001-09-14,"2,5717","3,8623",6226,"4,2315"
2001-09-17,"2,655","3,9569","6,2634","4,2428"
2001-09-18,"2,6288","3,9023","6,2059","4,2347"
2001-09-19,"2,6378","3,9132","6,1869","4,2272"
2001-09-20,"2,6367","3,895","6,1615","4,2025"
2001-09-21,"2,6304","3,8123","6,0221","4,1305"
2001-09-24,"2,6248","3,8179","6,0984","4,1898"
2001-09-25,"2,6437","3,8555","6,1501","4,2052"
2001-09-26,"2,6492","3,8974","6,2244","4,2253"
2001-09-27,"2,6064","3,8584","6,1715","4,1843"
2001-09-28,"2,6267","3,881","6,2305","4,2367"
2001-10-01,"2,6028","3,8491","6,2218","4,2281"
2001-10-02,"2,6137","3,8704","6,2597","4,2318"
2001-10-03,"2,5989","3,8637","6,1578","4,1951"
2001-10-04,"2,5922","3,8505",6188,"4,2058"
2001-10-05,"2,5618","3,8065","6,1267","4,1505"
2001-10-08,"2,597","3,84","6,1415","4,1693"
2001-10-09,"2,5958","3,8437","6,1303",4168
2001-10-10,"2,5597","3,7975","6,0557","4,1587"
2001-10-11,"2,5255","3,7517","5,9759","4,1211"
2001-10-12,"2,5205","3,7375","5,9848","4,1397"
2001-10-15,"2,5339","3,7477","5,9734","4,1174"
2001-10-16,"2,5031","3,7042","5,9173","4,0906"
2001-10-17,"2,4953","3,7011",5926,"4,0922"
2001-10-18,"2,498","3,6914","5,9171","4,0901"
2001-10-19,"2,4972","3,6891","5,9068","4,1019"
2001-10-22,"2,5028","3,6942","5,8923","4,1163"
2001-10-23,"2,4781","3,6689","5,8632","4,12"
2001-10-24,"2,4829","3,6734","5,8845","4,1163"
2001-10-25,"2,4838","3,6774","5,8867","4,1291"
2001-10-26,"2,4878","3,6664","5,8733","4,1019"
2001-10-29,"2,486","3,6682",5906,4083
2001-10-30,"2,5254","3,7186","5,9756","4,1148"
2001-10-31,"2,5228","3,7069","5,9649","4,0987"
2001-11-02,"2,517","3,7069","6,0031","4,0996"
2001-11-05,"2,513","3,698","5,9955","4,1196"
2001-11-06,"2,4965","3,678","5,9713",4095
2001-11-07,"2,4973","3,6756","5,9635","4,0662"
2001-11-08,"2,4831","3,6476","5,9538","4,0639"
2001-11-09,"2,4652","3,6215","5,8915","4,0663"
2001-11-12,"2,4793","3,6308",5923,"4,0662"
2001-11-13,"2,4664","3,619","5,9197","4,0793"
2001-11-14,"2,4571","3,6138","5,9131","4,1045"
2001-11-15,"2,4552","3,6161","5,8894",4096
2001-11-16,"2,4935","3,6622","5,9283","4,1401"
2001-11-19,"2,4752","3,6272","5,8631","4,1191"
2001-11-20,"2,481","3,6216","5,8155","4,1052"
2001-11-21,"2,4648","3,5925","5,7958",4088
2001-11-22,"2,4674","3,6003","5,7948","4,1012"
2001-11-23,"2,4681","3,6078","5,7674","4,1017"
2001-11-26,"2,4628","3,6101","5,8092","4,0962"
2001-11-27,"2,4507","3,5916","5,7516","4,0781"
2001-11-28,"2,4673","3,6005","5,7622","4,0681"
2001-11-29,"2,476","3,62","5,8143","4,0732"
2001-11-30,"2,4607","3,6223","5,8176","4,0874"
2001-12-03,"2,4517","3,6146","5,7553","4,0485"
2001-12-04,"2,4342","3,5837",5728,"4,0208"
2001-12-05,"2,4422","3,599","5,7359","4,0334"
2001-12-06,"2,458","3,6215","5,7782","4,0792"
2001-12-07,"2,4457","3,612","5,7644","4,0482"
2001-12-10,"2,4606","3,6374",5854,"4,0847"
2001-12-11,"2,4538","3,6303","5,8398","4,0717"
2001-12-12,"2,4579","3,6258","5,8485","4,0523"
2001-12-13,"2,4519","3,616","5,8252","4,0312"
2001-12-14,"2,4594","3,6268","5,8426","4,0227"
2001-12-17,"2,4516","3,6147","5,8203","3,9893"
2001-12-18,"2,4214","3,5712","5,7637","3,9557"
2001-12-19,"2,4328","3,5893","5,7892","3,9887"
2001-12-20,"2,4302","3,5648","5,7344",3972
2001-12-21,"2,4312","3,5608","5,7534","3,9692"
