﻿Wskaźnik;;Jednostka;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Ludność ogółem (stan w dniu 31 XII);;tys.;37988,4;38073,2;38144,0;38202,9;38239,5;38265,3;38284,1;38294,1;38290,0;38276,7;38263,3;38254,0;38242,2;38218,5;38190,6;38173,8;38157,1;38125,5;38115,6;38135,9;38167,3;38529,9;38538,4;38533,3;38495,7;38478,6;38437,2;38433,0;38433,6;38411,1;38382,6;38088,6;37907,7;37766,3
mężczyźni;;tys.;18516,1;18552,4;18580,8;18603,2;18617,2;18624,6;18627,8;18618,7;18601,1;18578,5;18547,8;18537,4;18525,2;18506,7;18486,4;18470,2;18453,9;18426,8;18411,5;18414,9;18428,7;18653,1;18654,6;18649,3;18629,5;18619,8;18598,0;18593,2;18593,2;18581,9;18567,1;18417,2;18322,9;18249,3
kobiety;;tys.;19472,3;19520,8;19563,1;19599,7;19622,3;19640,7;19656,4;19675,3;19688,6;19698,2;19715,5;19716,6;19717,0;19711,8;19704,2;19703,6;19703,2;19698,7;19704,1;19721,0;19738,6;19876,7;19883,9;19884,0;19866,1;19858,8;19839,2;19839,8;19840,4;19829,3;19816,0;19671,4;19584,8;19517,0
Przyrost roczny;;tys.;104;85;71;59;37;26;19;10;-4;-13;-13;-9;-12;-24;-28;-17;-17;-32;-10;20;31;33;9;-5;-38;-17;-41;-4;1;-22;-29;-122;-181;-141
Przyrost roczny;;%;0,27;0,22;0,19;0,15;0,10;0,07;0,05;0,03;-0,01;-0,03;-0,04;-0,02;-0,03;-0,06;-0,07;-0,04;-0,04;-0,08;-0,03;0,05;0,08;0,08;0,02;-0,01;-0,10;-0,04;-0,11;-0,01;0;-0,06;-0,07;-0,32;-0,47;-0,37
Gęstość zaludnienia;;osoba/km2;121;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;123;123;123;123;123;123;123;123;123;123;122;121;122
Współczynnik feminizacji;;kobiety na 100 mężczyzn;105,2;105,2;105,3;105,4;105,4;105,5;105,5;105,7;105,8;106,0;106,3;106,4;106,4;106,5;106,6;106,7;106,8;106,9;107,0;107,1;107,1;106,6;106,6;106,6;106,6;106,7;106,7;106,7;106,7;106,7;106,7;106,8;106,8;106,9
Ludność miejska;;tys.;23384,6;23546,5;23647,8;23568,0;23644,1;23672,6;23675,5;23690,3;23696,0;23682,0;23700,6;23670,3;23626,8;23571,2;23513,4;23470,1;23423,7;23368,9;23316,9;23288,2;23278,2;23429,1;23385,8;23336,3;23257,9;23216,4;23166,4;23129,5;23109,3;23067,2;23033,1;22777,3;22624,0;22489,9
Ludność miejska;;% ogółu ludności;61,6;61,8;62,0;61,7;61,8;61,9;61,8;61,9;61,9;61,9;61,9;61,9;61,8;61,7;61,6;61,5;61,4;61,3;61,2;61,1;61,0;60,8;60,7;60,6;60,4;60,3;60,3;60,2;60,1;60,1;60,0;59,8;59,7;59,6
Ludność w wieku:;;pusta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
przedprodukcyjnym (0-17 lat);;%;29,5;29,0;28,5;28,0;27,5;27,0;26,6;26,2;25,7;25,3;25,2;24,4;23,5;22,7;21,9;21,2;20,6;20,1;19,6;19,3;19,0;18,8;18,5;18,3;18,2;18,0;18,0;17,9;18,0;18,1;18,1;18,4;18,4;18,4
produkcyjnym (18-59/64 lata);;%;57,9;58,2;58,5;58,8;59,1;59,3;59,6;59,8;60,1;60,3;60,2;60,8;61,5;62,2;62,9;63,5;64,0;64,2;64,4;64,5;64,5;64,4;64,2;63,9;63,4;63,0;62,4;61,9;61,2;60,6;60,0;59,4;59,1;58,7
mobilnym (18-44lata);;%;40,1;40,1;40,1;40,1;40,0;40,0;40,0;40,0;39,9;39,9;39,8;39,8;39,9;39,9;39,9;40,0;40,0;40,0;40,1;40,1;40,1;40,0;40,0;40,0;39,8;39,7;39,4;39,1;38,7;38,2;37,7;37,1;36,5;36,0
niemobilnym (45-59/64 lat);;%;17,8;18,1;18,4;18,7;19,0;19,3;19,6;19,9;20,2;20,4;20,4;21,0;21,6;22,3;23,0;23,5;24,0;24,2;24,3;24,4;24,4;24,4;24,2;23,9;23,6;23,3;23,0;22,8;22,5;22,4;22,3;22,3;22,5;22,7
poprodukcyjnym (60/65 lat i więcej);;%;12,6;12,8;13,0;13,2;13,5;13,6;13,8;14,0;14,2;14,4;14,6;14,8;15,0;15,1;15,2;15,3;15,4;15,7;16,0;16,2;16,5;16,8;17,3;17,8;18,4;19,0;19,6;20,2;20,8;21,4;21,9;22,2;22,5;22,9
0-14 lat (dzieci);;%;25,0;24,4;23,8;23,2;22,7;22,1;21,6;21,1;20,6;20,1;19,8;19,1;18,4;17,8;17,2;16,7;16,2;15,8;15,5;15,3;15,2;15,2;15,1;15,0;15,0;15,0;15,0;15,0;15,2;15,3;15,3;15,6;15,6;15,4
65 lat i więcej;;%;65,0;10,2;10,4;10,6;10,9;11,1;11,3;11,5;11,7;11,9;12,1;12,4;12,6;12,8;13,0;13,1;13,3;13,4;13,5;13,5;13,5;13,5;13,8;14,2;14,7;15,3;15,8;16,4;17,0;17,5;18,1;18,5;18,9;19,5
Współczynnik obciążenia ekonomicznego;;;73;74;71;70;69;69;68;67;66;66;66;64;63;60;59;57;56;56;55;55;55;55;56;57;58;59;60;62;63;65;67;68;69;70
Przeciętne trwanie życia;;pusta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mężczyźni;;lata;66,8;66,2;65,9;66,5;67,2;67,5;67,6;68,1;68,5;68,9;68,8;69,7;70,2;70,4;70,5;70,7;70,8;70,9;71,0;71,3;71,5;72,1;72,4;72,7;73,1;73,8;73,6;73,9;74,0;73,8;74,1;72,6;71,8;
kobiety;;lata;75,5;75,2;75,1;75,5;75,8;76,1;76,4;76,6;77,0;77,3;77,5;78,0;78,4;78,8;78,9;79,2;79,4;79,6;79,7;80,0;80,1;80,6;80,9;81,0;81,1;81,6;81,6;81,9;81,8;81,7;81,8;80,6;79,7;
Małżeństwa;;tys.;255,7;255,4;233,2;217,3;207,7;207,7;207,1;203,6;204,9;209,4;219,4;211,2;195,1;191,9;195,4;191,8;206,9;226,2;248,7;257,7;250,8;228,3;206,5;203,9;180,4;188,5;188,8;193,5;192,6;192,4;183,4;145,0;168,3;155,8
Małżeństwa;;na 1000 ludności;6,7;6,7;6,1;5,7;5,4;5,4;5,4;5,3;5,3;5,5;5,7;5,5;5,1;5,0;5,1;5,0;5,4;5,9;6,5;6,8;6,6;5,9;5,4;5,3;4,7;4,9;4,9;5,0;5,0;5,0;4,8;3,8;4,4;4,1
Rozwody;;tys.;47,2;42,4;33,8;32,0;27,9;31,6;38,1;39,4;42,6;45,2;42,0;42,8;45,3;45,4;48,6;56,3;67,6;71,9;66,6;65,5;65,3;61,3;64,6;64,4;66,1;65,8;67,3;63,5;65,3;62,8;65,3;51,2;60,7;60,2
Rozwody;;na 1000 ludności;1,2;1,1;0,9;0,8;0,7;0,8;1,0;1,0;1,1;1,2;1,1;1,1;1,2;1,2;1,3;1,5;1,8;1,9;1,7;1,7;1,7;1,6;1,7;1,7;1,7;1,7;1,8;1,7;1,7;1,6;1,7;1,3;1,6;1,6
Separacje prawne;;tys.;.;.;.;.;.;.;.;.;.;.;.;1,3;2,4;2,7;3,0;5,9;11,6;8,0;4,9;3,8;3,2;2,8;2,8;2,5;2,2;1,9;1,7;1,6;1,6;1,3;1,2;0,7;0,8;0,7
Urodzenia żywe;;tys.;564,4;547,7;547,7;515,2;494,3;481,3;433,1;428,2;412,7;395,6;382,0;378,3;368,2;353,8;351,1;356,1;364,4;374,2;387,9;414,5;417,6;413,3;388,4;386,3;369,6;375,2;369,3;382,3;402,0;388,2;375,0;355,3;331,5;305,1
Urodzenia żywe;;na 1000 ludności;14,8;14,3;14,3;13,5;12,9;12,6;11,3;11,2;10,8;10,3;10,0;9,9;9,6;9,3;9,2;9,3;9,6;9,8;10,2;10,9;11,0;10,7;10,1;10,0;9,6;9,7;9,6;9,9;10,5;10,1;9,8;9,3;8,7;8,1
Współczynnik dzietności ogółem;;;2,07;1,99;1,98;1,85;1,77;1,72;1,55;1,53;1,47;1,41;1,37;1,37;1,31;1,25;1,22;1,23;1,24;1,27;1,31;1,39;1,40;1,38;1,30;1,30;1,26;1,29;1,29;1,36;1,45;1,43;1,42;1,39;1,33;
Zgony ogółem;;tys.;383,1;390,3;405,7;394,7;392,3;386,4;386,1;385,5;380,2;375,3;381,4;368,0;363,2;359,5;365,2;363,5;368,3;369,7;377,2;379,4;384,9;378,5;375,5;384,8;387,3;376,5;394,9;388,0;402,9;414,2;409,7;477,4;519,5;448,4
Zgony ogółem;;na 1000 ludności;10,0;10,2;10,6;10,3;10,2;10,1;10,1;10,1;9,9;9,8;10,0;9,6;9,5;9,4;9,6;9,5;9,7;9,7;9,9;10,0;10,1;9,8;9,7;10,0;10,1;9,8;10,3;10,1;10,5;10,8;10,7;12,5;13,8;11,9
Zgony według przyczyn:;;pusta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
choroby układu krążenia;;%;52,1;52,2;52,5;52,2;51,9;51,1;50,4;50,4;48,5;48,9;47,6;47,7;47,9;47,1;47,2;46,4;45,7;45,6;45,4;45,6;46,2;46,0;45,2;46,1;45,8;45,1;45,7;43,3;41,5;40,5;39,4;36,6;34,8;
nowotwory złośliwe;;%;18,7;18,7;18,2;18,7;19,3;19,8;20,2;20,4;20,9;21,9;21,4;23,0;23,8;24,4;24,2;24,7;24,5;24,8;24,6;24,5;24,2;24,5;24,6;24,6;24,3;25,4;25,5;25,8;24,7;24,5;24,5;20,9;18,0;
urazy i zatrucia;;%;7,2;7,6;7,8;7,6;7,2;7,5;7,5;7,1;7,6;7,4;7,2;7,0;6,9;7,1;6,8;6,9;6,9;6,8;6,6;6,7;6,3;6,2;6,3;6,1;5,8;5,7;5,0;4,9;4,8;4,9;4,9;4,2;4,2;
w tym;wypadki drogowe;%;2,3;2,5;2,4;2,1;2,0;2,1;2,1;1,9;2,6;2,6;2,0;1,6;1,4;1,5;1,4;1,5;1,4;1,3;1,4;1,4;1,1;1,1;1,0;0,8;0,7;0,7;0,6;0,7;0,6;0,6;0,7;0,5;0,4;
w tym;samobójstwa;%;1,1;1,3;1,3;1,5;1,4;1,4;1,4;1,4;1,4;1,5;1,5;1,6;1,6;1,7;1,6;1,7;1,6;1,6;1,4;1,5;1,7;1,7;1,6;1,7;1,6;1,6;1,4;1,2;1,1;1,1;1,1;1,0;0,9;
