﻿Wskaźnik;;Jednostka;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Pracujący w gospodarce narodowej (stan w końcu okresu);;tys.;17389,4;16484,7;15772,3;15365,5;15117,5;15281,9;15485,7;15841,9;16294,5;16267,1;15918,5;15488,8;14995,6;12803,3;12640,7;12720,2;12890,7;13220,0;13771,1;14037,2;13782,3;14106,9;14232,6;14172,0;14244,3;14563,4;14829,8;15293,3;15710,8;15949,7;16120,6;14789,1;15002,6;
Pracujący w gospodarce narodowej (stan w końcu okresu);;rok poprzedni=100;98,3;94,8;95,7;97,4;98,4;101,1;101,3;102,3;102,9;99,8;97,9;97,3;96,8;85,4;98,7;100,6;101,3;102,6;104,2;101,9;98,2;102,4;100,9;99,6;100,5;102,2;101,8;103,1;102,7;101,5;101,1;.;101,4;
Bezrobotni zarejestrowani (stan w końcu roku);;tys.;.;1126,1;2155,6;2509,3;2889,6;2838,0;2628,8;2359,5;1826,4;1831,4;2349,8;2702,6;3115,1;3217,0;3175,7;2999,6;2773,0;2309,4;1746,6;1473,8;1892,7;1954,7;1982,7;2136,8;2157,9;1825,2;1563,3;1335,2;1081,7;968,9;866,4;1046,4;895,2;812,3
mężczyźni;;tys.;.;552,4;1021,4;1170,5;1382,3;1343,0;1180,2;983,9;723,2;760,1;1042,5;1211,0;1473,0;1571,2;1541,0;1431,1;1286,6;1003,7;729,2;640,4;926,3;939,9;922,5;1037,6;1058,4;885,5;747,2;622,9;486,2;426,3;387,0;484,8;413,3;375,9
kobiety;;tys.;.;573,7;1134,1;1338,8;1507,3;1495,0;1448,6;1375,6;1103,2;1071,3;1307,3;1491,6;1642,1;1645,8;1634,7;1568,5;1486,4;1305,7;1017,3;833,4;966,4;1014,8;1060,2;1099,2;1099,5;939,6;816,1;712,2;595,5;542,6;479,4;561,6;481,9;436,4
Stopa rejestrowanego bezrobocia ogółem (stan w końcu roku);;%;.;6,5;12,2;14,3;16,4;16,0;14,9;13,2;10,3;10,4;13,1;15,1;17,5;20,0;20,0;19,0;17,6;14,8;11,2;9,5;12,1;12,4;12,5;13,4;13,4;11,4;9,7;8,2;6,6;5,8;5,2;6,8;5,8;5,2
Wskaźnik zatrudnienia (15-64) wg BAEL;;%;.;.;.;.;.;.;.;.;.;.;.;55,0;53,5;51,7;.;.;.;.;.;.;.;57,0;57,5;58,0;58,4;60,2;61,6;63,5;65,3;66,6;67,5;67,8;70,3;71,3
mężczyźni;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;63,0;63,7;64,2;64,7;66,4;67,6;69,6;71,7;73,0;74,3;74,7;76,8;77,3
kobiety;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;51,1;51,3;51,9;52,2;54,0;55,6;57,3;58,9;60,3;60,7;60,9;63,8;65,4
Wskaźnik zatrudnienia osób starszych (55-64) wg BAEL;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;31,5;34,3;36,1;38,3;40,5;42,5;44,5;46,9;47,7;48,3;50,4;54,7;56,4
mężczyźni;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;42,2;44,7;46,4;48,6;50,7;51,9;53,6;56,7;58,3;59,4;61,9;67,3;69,4
kobiety;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;22,0;25,0;27,1;29,1;31,4;34,1;36,3;38,0;38,1;38,3;40,0;43,1;44,6
Średni wiek dezaktywizacji zawodowej;;lata;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;63,1;62,2;62,1;61,3;62,6;61,6;62,2;63,5;61,7;61,7;63,1;65,2;62,7
Stopa bezrobocia wg BAEL (stan wg ostatniego badania w roku);;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9,6;10,0;10,4;10,0;8,3;7,0;5,6;4,5;3,9;2,9;3,2;2,9;2,9
mężczyźni;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9,2;9,2;9,6;9,4;7,8;6,9;5,5;4,4;3,7;2,7;3,1;2,8;3,0
kobiety;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10,2;11,1;11,3;10,8;8,9;7,2;5,7;4,6;4,0;3,2;3,2;3,0;2,8
młodzież (15-24 lata);;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;23,8;26,6;27,7;27,6;22,1;20,4;16,1;14,8;12,4;7,9;12,9;9,1;12,1
osoby starsze (50-89 lat);;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7,8;7,6;7,6;7,3;6,2;4,9;4,1;3,1;2,9;2,3;2,1;2,0;1,7
Stopa bezrobocia wg BAEL w miastach (stan wg ostatniego badania w roku);;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9,5;9,7;10,2;9,8;7,8;6,5;5,1;4,0;3,5;3,0;3,0;2,7;2,6
mężczyźni;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9,4;9,1;9,6;9,4;7,6;6,5;5,0;3,7;3,5;2,9;3,1;2,8;2,9
kobiety;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9,6;10,3;10,8;10,2;8,0;6,5;5,3;4,3;3,5;3,0;3,0;2,6;2,3
Stopa bezrobocia wg BAEL na wsi (stan wg ostatniego badania w roku);;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9,9;10,7;10,8;10,4;9,0;8,0;6,4;5,4;4,4;2,8;3,3;3,2;3,3
mężczyźni;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8,9;9,2;9,7;9,4;8,0;7,5;6,3;5,5;4,0;2,3;3,2;2,9;3,1
kobiety;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;11,3;12,7;12,3;11,8;10,5;8,6;6,5;5,2;5,0;3,5;3,6;3,6;3,6
Stopa bezrobocia długotrwałego wg BAEL;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2,5;3,1;3,6;3,9;3,3;2,4;1,7;1,2;0,8;0,5;0,5;0,6;0,9
mężczyźni;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2,4;2,9;3,3;3,6;3,2;2,5;1,7;1,2;0,8;0,5;0,5;0,6;0,9
kobiety;;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2,7;3,5;4,0;4,2;3,5;2,4;1,7;1,1;0,7;0,5;0,5;0,7;0,9
Ciężkie wypadki przy pracy ogółem;;na 100 tys. pracujących;.;.;.;.;.;.;.;.;.;.;.;11,91;10,40;9,73;9,71;9,96;9,05;9,03;8,67;7,72;6,69;5,58;6,03;5,36;4,60;4,46;4,12;3,72;5,17;3,94;2,89;2,74;2,59;
