Date,Open,High,Low,Close,Volume
2016-02-16,793.41,797.86,793.41,797.86,4311608034
2016-02-17,803.69,812.27,803.69,812.27,4795650276
2016-02-18,814.39,814.39,811.24,811.24,4225414900
2016-02-19,808.14,809.44,808.14,809.44,3932152707
2016-02-22,816.39,819.91,816.39,819.91,3852947048
2016-02-23,818.02,818.02,812.75,812.75,3705509493
2016-02-24,806.41,816.3,806.41,816.3,4092107403
2016-02-25,817.4,821.35,817.4,821.35,3865454577
2016-02-26,825.38,825.86,825.38,825.86,4065099286
2016-02-29,826.89,827.66,826.89,827.66,4327718335
2016-03-01,832.44,837.87,832.44,837.87,4577717567
2016-03-02,837.28,846.75,837.28,846.75,4416127856
2016-03-03,847,856.86,847,856.86,4816318267
2016-03-04,859.9,863.84,859.9,863.84,5751962268
2016-03-07,863.39,872.43,863.39,872.43,4709941524
2016-03-08,869.21,869.21,857.87,857.87,4347104456
2016-03-09,861.64,862.2,861.64,862.2,3834535823
2016-03-10,863.81,863.81,859.72,859.72,4192417871
2016-03-11,866.16,871.77,866.16,871.77,3855773149
2016-03-14,869.57,870.01,869.57,870.01,3270116104
2016-03-15,865.04,865.04,861.76,861.76,3407662361
2016-03-16,861.27,870.93,861.27,870.93,3865124854
2016-03-17,872.94,880.94,872.94,880.94,4329524371
2016-03-18,884.18,884.18,883.79,883.79,6092057195
2016-03-21,882.89,883.06,882.89,883.06,3181504433
2016-03-22,879.67,882.04,879.67,882.04,3145184023
2016-03-23,879.52,879.52,870.48,870.48,3398663879
2016-03-24,865.75,870.96,865.75,870.96,3224400388
2016-03-28,872.78,872.78,871.51,871.51,2623024753
2016-03-29,868.91,880.62,868.91,880.62,3499902139
2016-03-30,884.79,884.79,883.82,883.82,3390855257
2016-03-31,883.65,885.51,883.65,885.51,3578228899
2016-04-01,879.48,883.7,879.48,883.7,3516703113
2016-04-04,883.56,883.56,877.26,877.26,3176737233
2016-04-05,872.65,872.65,871.32,871.32,3767748474
2016-04-06,872.54,877.46,872.54,877.46,3496180947
2016-04-07,874.33,874.33,870.51,870.51,3572174860
2016-04-08,877.19,877.56,877.19,877.56,3170141073
2016-04-11,881.56,881.56,880.44,880.44,3371555867
2016-04-12,882.12,889.9,882.12,889.9,4011072233
2016-04-13,893.66,899.75,893.66,899.75,3971888788
2016-04-14,900.29,900.29,898.45,898.45,3500813050
2016-04-15,896.85,898.89,896.85,898.89,3400944557
2016-04-18,894.99,903.5,894.99,903.5,3153925903
2016-04-19,906.95,910.96,906.95,910.96,3726772759
2016-04-20,910.58,912.8,910.58,912.8,3972567853
2016-04-21,913.98,913.98,909.19,909.19,4012840423
2016-04-22,909.96,914.5,909.96,914.5,3656525039
2016-04-25,913.11,913.11,909.5,909.5,3204187710
2016-04-26,912.09,916.36,912.09,916.36,3429524524
2016-04-27,917.19,921.57,917.19,921.57,3932763777
2016-04-28,918.57,918.57,916.37,916.37,4086026960
2016-04-29,916.72,916.72,914.09,914.09,4527047024
2016-05-02,915.77,915.77,915.7,915.7,3694283560
2016-05-03,909.89,909.89,904.83,904.83,4048448864
2016-05-04,902.05,902.05,901.21,901.21,3934326084
2016-05-05,904.73,904.73,900.07,900.07,3878560254
2016-05-06,897.93,902.93,897.93,902.93,3674814329
2016-05-09,901.37,901.37,898.75,898.75,3617079842
2016-05-10,901.45,906.69,901.45,906.69,3472454040
2016-05-11,905.62,905.62,903.23,903.23,3671017095
2016-05-12,906.62,906.62,900.65,900.65,3615951135
2016-05-13,898.61,898.61,895.13,895.13,3445949913
2016-05-16,898.39,901.75,898.39,901.75,3360881332
2016-05-17,900.73,900.73,897.88,897.88,3907710147
2016-05-18,895.78,895.78,893.22,893.22,3963666233
2016-05-19,888.57,888.57,887.82,887.82,3713902147
2016-05-20,890.7,894.69,890.7,894.69,3393197054
2016-05-23,894.01,894.21,894.01,894.21,2949405804
2016-05-24,897.44,901.1,897.44,901.1,3509060273
2016-05-25,903.64,907.52,903.64,907.52,3743519022
2016-05-26,909.67,909.67,906.72,906.72,3106725170
2016-05-27,906.6,909.13,906.6,909.13,2962105038
2016-05-31,910.7,910.73,910.7,910.73,4316777613
2016-06-01,908.09,913.92,908.09,913.92,3392134472
2016-06-02,911.77,916.66,911.77,916.66,3310344969
2016-06-03,917.5,917.84,917.5,917.84,3510752073
2016-06-06,919.87,925.81,919.87,925.81,3336874856
2016-06-07,926.94,929.79,926.94,929.79,3445020233
2016-06-08,932.37,934.06,932.37,934.06,3484147459
2016-06-09,930.36,930.36,929.99,929.99,3203583894
2016-06-10,923.65,923.65,918.85,918.85,3399141396
2016-06-13,915.8,915.8,911.35,911.35,3292734671
2016-06-14,909.2,909.2,906.49,906.49,3663479767
2016-06-15,908.18,909.33,908.18,909.33,3435797057
2016-06-16,905.18,907.52,905.18,907.52,3518715970
2016-06-17,909.62,911.35,909.62,911.35,4763716574
2016-06-20,919.3,919.3,918.73,918.73,3376807754
2016-06-21,919.44,919.44,919.15,919.15,3140821589
2016-06-22,920.8,920.8,917.4,917.4,3089149342
2016-06-23,923.99,928.38,923.99,928.38,3208716048
