Date;Open;High;Low;Close;Volume
2000-01-03;18981.7;18981.7;18981.7;18981.7;8364917
2000-01-04;18558;18558;18558;18558;8762754
2000-01-05;17694.4;17694.4;17694.4;17694.4;9760796
2000-01-06;18074.7;18074.7;18074.7;18074.7;7560972
2000-01-07;18953.5;18953.5;18953.5;18953.5;15747541
2000-01-10;19851.8;19851.8;19851.8;19851.8;16363578
2000-01-11;19853.3;19853.3;19853.3;19853.3;12211939
2000-01-12;19469.7;19469.7;19469.7;19469.7;10351589
2000-01-13;19900.4;19900.4;19900.4;19900.4;13603649
2000-01-14;20445.7;20445.7;20445.7;20445.7;16809052
2000-01-17;20108.3;20108.3;20108.3;20108.3;11185930
2000-01-18;20318;20318;20318;20318;13688347
2000-01-19;19632.3;19632.3;19632.3;19632.3;9646579
2000-01-20;19966.8;19966.8;19966.8;19966.8;11078729
2000-01-21;19905.7;19905.7;19905.7;19905.7;7995244
2000-01-24;20085.8;20085.8;20085.8;20085.8;7615236
2000-01-25;19354.5;19354.5;19354.5;19354.5;10424851
2000-01-26;19361;19361;19361;19361;7489596
2000-01-27;19481.4;19481.4;19481.4;19481.4;7053102
2000-01-28;19765.5;19765.5;19765.5;19765.5;7503575
2000-01-31;19398;19398;19398;19398;5701410
2000-02-01;19721;19721;19721;19721;9785027
2000-02-02;19704.2;19704.2;19704.2;19704.2;8072215
2000-02-03;20204.1;20204.1;20204.1;20204.1;12352583
2000-02-04;21224.6;21224.6;21224.6;21224.6;12145248
2000-02-07;20977.2;20977.2;20977.2;20977.2;10356935
2000-02-08;21185.3;21185.3;21185.3;21185.3;10101891
2000-02-09;21742.2;21742.2;21742.2;21742.2;13714415
2000-02-10;20859.7;20859.7;20859.7;20859.7;10210424
2000-02-11;21245.4;21245.4;21245.4;21245.4;9443910
2000-02-14;20521;20521;20521;20521;9357968
2000-02-15;21332;21332;21332;21332;9374183
2000-02-16;21452.5;21452.5;21452.5;21452.5;7251493
2000-02-17;21044.4;21044.4;21044.4;21044.4;10695815
2000-02-18;21753.2;21753.2;21753.2;21753.2;14061457
2000-02-21;21352.7;21352.7;21352.7;21352.7;8891671
2000-02-22;21919.8;21919.8;21919.8;21919.8;10207745
2000-02-23;22475.8;22475.8;22475.8;22475.8;13275535
2000-02-24;22704.7;22704.7;22704.7;22704.7;11805822
2000-02-25;22823.5;22823.5;22823.5;22823.5;11892015
2000-02-28;21488.9;21488.9;21488.9;21488.9;10684648
2000-02-29;21536.8;21536.8;21536.8;21536.8;11218573
2000-03-01;21912.6;21912.6;21912.6;21912.6;10573041
2000-03-02;22061.4;22061.4;22061.4;22061.4;13001043
2000-03-03;21833.8;21833.8;21833.8;21833.8;9390303
2000-03-06;22347.3;22347.3;22347.3;22347.3;7726375
2000-03-07;21765.8;21765.8;21765.8;21765.8;7060841
